2.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	820.000	0.844
3.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	820.000	0.742
5.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	820.000	0.670
7.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	820.000	0.604
9.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	820.000	0.558
18.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	820.000	0.483
30.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	820.000	0.430
45.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	820.000	0.365
75.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	820.000	0.279
100.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	820.000	0.185
9.000	2.300	0.255	0.100	0.000	352.000	200.000	10.000	0.000	0.641
12.000	2.300	0.255	0.100	0.000	352.000	200.000	10.000	0.000	0.589
18.000	2.300	0.255	0.100	0.000	352.000	200.000	10.000	0.000	0.538
30.000	2.300	0.255	0.100	0.000	352.000	200.000	10.000	0.000	0.480
45.000	2.300	0.255	0.100	0.000	352.000	200.000	10.000	0.000	0.427
140.000	2.300	0.255	0.100	0.000	352.000	200.000	10.000	0.000	0.309
180.000	2.300	0.255	0.100	0.000	352.000	200.000	10.000	0.000	0.278
240.000	2.300	0.255	0.100	0.000	352.000	200.000	10.000	0.000	0.231
20.000	1.000	0.309	0.100	0.000	0.000	200.000	0.000	820.000	0.663
40.000	1.000	0.309	0.100	0.000	0.000	200.000	0.000	820.000	0.406
10.000	3.000	0.309	0.100	0.000	0.000	200.000	0.000	820.000	0.763
20.000	3.000	0.309	0.100	0.000	0.000	200.000	0.000	820.000	0.575
70.000	3.000	0.309	0.100	0.000	0.000	200.000	0.000	820.000	0.070
0.000	5.000	0.309	0.100	0.000	0.000	200.000	0.000	820.000	1.000
40.000	5.000	0.309	0.100	0.000	0.000	200.000	0.000	820.000	0.507
70.000	5.000	0.309	0.100	0.000	0.000	200.000	0.000	820.000	0.265
0.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	0.000	1.000
15.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	0.000	0.581
30.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	0.000	0.378
45.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	0.000	0.298
60.000	2.300	0.309	0.100	0.000	0.000	200.000	10.000	0.000	0.234
0.000	2.300	0.206	0.100	0.000	0.000	200.000	10.000	0.000	1.000
15.000	2.300	0.206	0.100	0.000	0.000	200.000	10.000	0.000	0.659
30.000	2.300	0.206	0.100	0.000	0.000	200.000	10.000	0.000	0.472
45.000	2.300	0.206	0.100	0.000	0.000	200.000	10.000	0.000	0.350
